actual_deaths,date,county_state,deaths_predicted_county,deaths_predicted_shared,deaths_predicted_ensemble,date_of_10_deaths,days_since_10_deaths
0,2020-02-03,"Bronx County, NY",NA,NA,NA,2020-03-22,-48
0,2020-02-04,"Bronx County, NY",NA,NA,NA,2020-03-22,-47
0,2020-02-05,"Bronx County, NY",NA,NA,NA,2020-03-22,-46
0,2020-02-06,"Bronx County, NY",NA,NA,NA,2020-03-22,-45
0,2020-02-07,"Bronx County, NY",NA,NA,NA,2020-03-22,-44
0,2020-02-08,"Bronx County, NY",NA,NA,NA,2020-03-22,-43
0,2020-02-09,"Bronx County, NY",NA,NA,NA,2020-03-22,-42
0,2020-02-10,"Bronx County, NY",NA,NA,NA,2020-03-22,-41
0,2020-02-11,"Bronx County, NY",NA,NA,NA,2020-03-22,-40
0,2020-02-12,"Bronx County, NY",NA,NA,NA,2020-03-22,-39
0,2020-02-13,"Bronx County, NY",NA,NA,NA,2020-03-22,-38
0,2020-02-14,"Bronx County, NY",NA,NA,NA,2020-03-22,-37
0,2020-02-15,"Bronx County, NY",NA,NA,NA,2020-03-22,-36
0,2020-02-16,"Bronx County, NY",NA,NA,NA,2020-03-22,-35
0,2020-02-17,"Bronx County, NY",NA,NA,NA,2020-03-22,-34
0,2020-02-18,"Bronx County, NY",NA,NA,NA,2020-03-22,-33
0,2020-02-19,"Bronx County, NY",NA,NA,NA,2020-03-22,-32
0,2020-02-20,"Bronx County, NY",NA,NA,NA,2020-03-22,-31
0,2020-02-21,"Bronx County, NY",NA,NA,NA,2020-03-22,-30
0,2020-02-22,"Bronx County, NY",NA,NA,NA,2020-03-22,-29
0,2020-02-23,"Bronx County, NY",NA,NA,NA,2020-03-22,-28
0,2020-02-24,"Bronx County, NY",NA,NA,NA,2020-03-22,-27
0,2020-02-25,"Bronx County, NY",NA,NA,NA,2020-03-22,-26
0,2020-02-26,"Bronx County, NY",NA,NA,NA,2020-03-22,-25
0,2020-02-27,"Bronx County, NY",NA,NA,NA,2020-03-22,-24
0,2020-02-28,"Bronx County, NY",NA,NA,NA,2020-03-22,-23
0,2020-02-29,"Bronx County, NY",NA,NA,NA,2020-03-22,-22
0,2020-03-01,"Bronx County, NY",NA,NA,NA,2020-03-22,-21
0,2020-03-02,"Bronx County, NY",NA,NA,NA,2020-03-22,-20
0,2020-03-03,"Bronx County, NY",NA,NA,NA,2020-03-22,-19
0,2020-03-04,"Bronx County, NY",NA,NA,NA,2020-03-22,-18
0,2020-03-05,"Bronx County, NY",NA,NA,NA,2020-03-22,-17
0,2020-03-06,"Bronx County, NY",NA,NA,NA,2020-03-22,-16
0,2020-03-07,"Bronx County, NY",NA,NA,NA,2020-03-22,-15
0,2020-03-08,"Bronx County, NY",NA,NA,NA,2020-03-22,-14
0,2020-03-09,"Bronx County, NY",NA,NA,NA,2020-03-22,-13
0,2020-03-10,"Bronx County, NY",NA,NA,NA,2020-03-22,-12
0,2020-03-11,"Bronx County, NY",NA,NA,NA,2020-03-22,-11
0,2020-03-12,"Bronx County, NY",NA,NA,NA,2020-03-22,-10
0,2020-03-13,"Bronx County, NY",NA,NA,NA,2020-03-22,-9
0,2020-03-14,"Bronx County, NY",NA,NA,NA,2020-03-22,-8
0,2020-03-15,"Bronx County, NY",NA,NA,NA,2020-03-22,-7
1,2020-03-16,"Bronx County, NY",NA,NA,NA,2020-03-22,-6
1,2020-03-17,"Bronx County, NY",NA,NA,NA,2020-03-22,-5
1,2020-03-18,"Bronx County, NY",NA,NA,NA,2020-03-22,-4
1,2020-03-19,"Bronx County, NY",NA,NA,NA,2020-03-22,-3
1,2020-03-20,"Bronx County, NY",NA,NA,NA,2020-03-22,-2
0,2020-03-21,"Bronx County, NY",NA,NA,NA,2020-03-22,-1
14,2020-03-22,"Bronx County, NY",NA,NA,NA,2020-03-22,0
28,2020-03-23,"Bronx County, NY",NA,NA,NA,2020-03-22,1
44,2020-03-24,"Bronx County, NY",NA,NA,NA,2020-03-22,2
60,2020-03-25,"Bronx County, NY",NA,NA,NA,2020-03-22,3
79,2020-03-26,"Bronx County, NY",NA,NA,NA,2020-03-22,4
101,2020-03-27,"Bronx County, NY",NA,NA,NA,2020-03-22,5
152,2020-03-28,"Bronx County, NY",NA,NA,NA,2020-03-22,6
188,2020-03-29,"Bronx County, NY",NA,NA,NA,2020-03-22,7
215,2020-03-30,"Bronx County, NY",257.4885622599999,223.47759786876108,240.46535713,2020-03-22,8
262,2020-03-31,"Bronx County, NY",345.5303371999999,265.59755728829055,305.52229469,2020-03-22,9
360,2020-04-01,"Bronx County, NY",463.67579545999996,315.6356221649477,389.57856584999996,2020-03-22,10
0,2020-01-22,"Kings County, NY",NA,NA,NA,2020-03-22,-60
0,2020-01-23,"Kings County, NY",NA,NA,NA,2020-03-22,-59
0,2020-01-24,"Kings County, NY",NA,NA,NA,2020-03-22,-58
